"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"96","1","file:/data/kalbeck_2__0049_b.tif","/data/kalbeck_2__0049_b.tif","kalbeck_2__0049_b.tif","Signature","Done","55410041","File","tif","2026-05-20T06:54:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"97","1","file:/data/kalbeck_2__0046_b.tif","/data/kalbeck_2__0046_b.tif","kalbeck_2__0046_b.tif","Signature","Done","56137821","File","tif","2026-05-20T06:54:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"98","1","file:/data/kalbeck_2__0048_b.tif","/data/kalbeck_2__0048_b.tif","kalbeck_2__0048_b.tif","Signature","Done","55476255","File","tif","2026-05-20T06:54:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"99","1","file:/data/kalbeck_2__0049_a.tif","/data/kalbeck_2__0049_a.tif","kalbeck_2__0049_a.tif","Signature","Done","56456051","File","tif","2026-05-20T06:54:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"100","1","file:/data/kalbeck_2__0050_b.tif","/data/kalbeck_2__0050_b.tif","kalbeck_2__0050_b.tif","Signature","Done","55780523","File","tif","2026-05-20T06:54:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"101","1","file:/data/kalbeck_2__0051_a.tif","/data/kalbeck_2__0051_a.tif","kalbeck_2__0051_a.tif","Signature","Done","56668063","File","tif","2026-05-20T06:54:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"102","1","file:/data/kalbeck_2__0050_a.tif","/data/kalbeck_2__0050_a.tif","kalbeck_2__0050_a.tif","Signature","Done","56624817","File","tif","2026-05-20T06:54:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"103","1","file:/data/kalbeck_2__0051_b.tif","/data/kalbeck_2__0051_b.tif","kalbeck_2__0051_b.tif","Signature","Done","55477837","File","tif","2026-05-20T06:54:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"104","1","file:/data/kalbeck_2__0053_b.tif","/data/kalbeck_2__0053_b.tif","kalbeck_2__0053_b.tif","Signature","Done","55238569","File","tif","2026-05-20T06:54:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"105","1","file:/data/kalbeck_2__0054_a.tif","/data/kalbeck_2__0054_a.tif","kalbeck_2__0054_a.tif","Signature","Done","57406079","File","tif","2026-05-20T06:54:35","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"106","1","file:/data/kalbeck_2__0052_a.tif","/data/kalbeck_2__0052_a.tif","kalbeck_2__0052_a.tif","Signature","Done","57178793","File","tif","2026-05-20T06:54:31","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"107","1","file:/data/kalbeck_2__0053_a.tif","/data/kalbeck_2__0053_a.tif","kalbeck_2__0053_a.tif","Signature","Done","56695857","File","tif","2026-05-20T06:54:33","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"108","1","file:/data/kalbeck_2__0052_b.tif","/data/kalbeck_2__0052_b.tif","kalbeck_2__0052_b.tif","Signature","Done","55854347","File","tif","2026-05-20T06:54:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"109","1","file:/data/kalbeck_2__0054_b.tif","/data/kalbeck_2__0054_b.tif","kalbeck_2__0054_b.tif","Signature","Done","55775439","File","tif","2026-05-20T06:54:36","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
